id;naziv;racun;telefon;pib;pdv;odgovorno_lice_narucioca;email
1;Future;Investor Gorgeous Handcrafted;plum Re-contextualized platforms;Pizza Dominican contingency;Soft multimedia copy;e-markets Awesome;Christop_Cole@hotmail.com
2;drive;Falls Proactive;cross-media Checking;bandwidth Harbors;driver withdrawal;Concrete;Ottilie_Kovacek@yahoo.com
3;navigating indexing;iterate deposit;View Kansas;Open-architected;maroon Mexico;firmware d'Ivoire Unions;Quincy_Cremin@yahoo.com
4;JBOD Ohio Bedfordshire;Martinique;array;Cameroon Clothing;Buckinghamshire;Unbranded PNG;Jannie60@hotmail.com
5;Wooden Fantastic;Keyboard payment grey;Norfolk circuit;AI RSS back;dedicated compress Account;Architect Licensed impactful;Bernadette34@hotmail.com
6;connect;connecting;Sausages;didactic withdrawal Palau;Account;Ball relationships;Alex89@gmail.com
7;sensor protocol;Berkshire;Clothing Generic systems;lime;Home Denar violet;seamless empowering Metal;Carissa_Powlowski10@yahoo.com
8;Mali;Generic RSS virtual;Frozen;utilize PCI;mint neural-net;Denmark Rubber;Tara31@hotmail.com
9;e-enable Fantastic;Manager Product iterate;Rhode turquoise Tools;AI Market;world-class Cliffs Bedfordshire;Vision-oriented Industrial state;Darrel.Wyman68@gmail.com
10;deposit Towels visionary;killer;payment Maine;and Product Administrator;array Washington;copying Slovenia;Raven_Quitzon@yahoo.com
